Bandit,Reward,Algorithm
Bandit,2.293859383276268,Epsilon Greedy
Bandit,5.188459061474418,Epsilon Greedy
Bandit,2.380622454876437,Epsilon Greedy
Bandit,2.9617251898468853,Epsilon Greedy
Bandit,4.025425568840846,Epsilon Greedy
Bandit,4.0005277305574145,Epsilon Greedy
Bandit,4.549709489286623,Epsilon Greedy
Bandit,3.2306222525010058,Epsilon Greedy
Bandit,4.601767347102466,Epsilon Greedy
Bandit,4.877119135007521,Epsilon Greedy
Bandit,4.736169274806697,Epsilon Greedy
Bandit,4.1008883164195495,Epsilon Greedy
Bandit,2.456822157058774,Epsilon Greedy
Bandit,5.16444299316539,Epsilon Greedy
Bandit,3.47774225056503,Epsilon Greedy
Bandit,4.318399454227893,Epsilon Greedy
Bandit,4.625848061208089,Epsilon Greedy
Bandit,4.001047962209343,Epsilon Greedy
Bandit,-0.022562593744135828,Epsilon Greedy
Bandit,4.906578311372751,Epsilon Greedy
Bandit,4.618040642790164,Epsilon Greedy
Bandit,3.7227408708616854,Epsilon Greedy
Bandit,3.604577565830545,Epsilon Greedy
Bandit,2.5547788651143413,Epsilon Greedy
Bandit,5.70582129646182,Epsilon Greedy
Bandit,4.53342757810787,Epsilon Greedy
Bandit,5.2845453674069685,Epsilon Greedy
Bandit,2.7936264334235412,Epsilon Greedy
Bandit,3.4597511620980157,Epsilon Greedy
Bandit,4.963174381532197,Epsilon Greedy
Bandit,4.639294075841988,Epsilon Greedy
Bandit,3.470832922872575,Epsilon Greedy
Bandit,3.873586728158286,Epsilon Greedy
Bandit,4.683042466878501,Epsilon Greedy
Bandit,5.255476622432925,Epsilon Greedy
Bandit,5.396594675864081,Epsilon Greedy
Bandit,3.4774538471561662,Epsilon Greedy
Bandit,3.761713121544236,Epsilon Greedy
Bandit,5.1744330847733115,Epsilon Greedy
Bandit,4.466741925528057,Epsilon Greedy
Bandit,3.881186999385635,Epsilon Greedy
Bandit,5.48433740948761,Epsilon Greedy
Bandit,3.203992726829736,Epsilon Greedy
Bandit,3.081584756946893,Epsilon Greedy
Bandit,4.424859196227266,Epsilon Greedy
Bandit,5.348810338560322,Epsilon Greedy
Bandit,4.816551589697077,Epsilon Greedy
Bandit,3.56785414049047,Epsilon Greedy
Bandit,5.060211639831756,Epsilon Greedy
Bandit,2.868145523571795,Epsilon Greedy
Bandit,4.690226772324949,Epsilon Greedy
Bandit,4.74864642739148,Epsilon Greedy
Bandit,4.562246954728832,Epsilon Greedy
Bandit,4.085404821145607,Epsilon Greedy
Bandit,3.5059752469534518,Epsilon Greedy
Bandit,4.179090370005144,Epsilon Greedy
Bandit,4.707020997089654,Epsilon Greedy
Bandit,-0.20473880582798953,Epsilon Greedy
Bandit,3.0017441808506202,Epsilon Greedy
Bandit,3.7147120301981884,Epsilon Greedy
Bandit,3.500128503977392,Epsilon Greedy
Bandit,2.4949103858673207,Epsilon Greedy
Bandit,3.25303710295484,Epsilon Greedy
Bandit,5.577660081742115,Epsilon Greedy
Bandit,4.929567633757284,Epsilon Greedy
Bandit,5.115249059278042,Epsilon Greedy
Bandit,5.092027993770727,Epsilon Greedy
Bandit,3.258389806410513,Epsilon Greedy
Bandit,4.6836998105046295,Epsilon Greedy
Bandit,3.650593388209951,Epsilon Greedy
Bandit,3.2426955636263997,Epsilon Greedy
Bandit,5.544665852730919,Epsilon Greedy
Bandit,5.21389673991666,Epsilon Greedy
Bandit,4.382383591096722,Epsilon Greedy
Bandit,3.3688130047151734,Epsilon Greedy
Bandit,5.9185282767527045,Epsilon Greedy
Bandit,3.3759380007524875,Epsilon Greedy
Bandit,4.870911037409409,Epsilon Greedy
Bandit,2.4036752912211927,Epsilon Greedy
Bandit,3.774533640549258,Epsilon Greedy
Bandit,4.471908415566867,Epsilon Greedy
Bandit,4.681657525818833,Epsilon Greedy
Bandit,5.011307773891262,Epsilon Greedy
Bandit,5.279029650075689,Epsilon Greedy
Bandit,4.735475188660073,Epsilon Greedy
Bandit,3.373346647147385,Epsilon Greedy
Bandit,2.5046664368738965,Epsilon Greedy
Bandit,2.755100801838053,Epsilon Greedy
Bandit,2.9474194019279607,Epsilon Greedy
Bandit,4.093095098268693,Epsilon Greedy
Bandit,3.588045462403058,Epsilon Greedy
Bandit,5.476507713560161,Epsilon Greedy
Bandit,2.43278239804952,Epsilon Greedy
Bandit,3.153543539917374,Epsilon Greedy
Bandit,3.7456764960175053,Epsilon Greedy
Bandit,3.8758993687171808,Epsilon Greedy
Bandit,2.8266494314712016,Epsilon Greedy
Bandit,3.4628471327189754,Epsilon Greedy
Bandit,3.694237101680345,Epsilon Greedy
Bandit,5.722343067228736,Epsilon Greedy
Bandit,4.264065073511867,Epsilon Greedy
Bandit,4.159776078683119,Epsilon Greedy
Bandit,4.538111469891047,Epsilon Greedy
Bandit,5.229293048059139,Epsilon Greedy
Bandit,3.302447511207789,Epsilon Greedy
Bandit,4.898526407446601,Epsilon Greedy
Bandit,3.00077123053589,Epsilon Greedy
Bandit,1.6334410646119921,Epsilon Greedy
Bandit,5.4457682082018195,Epsilon Greedy
Bandit,6.218898312825519,Epsilon Greedy
Bandit,3.832549492897195,Epsilon Greedy
Bandit,2.645629339510217,Epsilon Greedy
Bandit,4.323714186208325,Epsilon Greedy
Bandit,4.086446161471956,Epsilon Greedy
Bandit,3.9968703153381973,Epsilon Greedy
Bandit,3.980256420769406,Epsilon Greedy
Bandit,3.384978560840625,Epsilon Greedy
Bandit,4.256526352868887,Epsilon Greedy
Bandit,4.011448241411818,Epsilon Greedy
Bandit,3.8335736128487956,Epsilon Greedy
Bandit,5.253986497881693,Epsilon Greedy
Bandit,2.867280872569753,Epsilon Greedy
Bandit,2.0850095518190166,Epsilon Greedy
Bandit,6.088409407119636,Epsilon Greedy
Bandit,3.9855544319630654,Epsilon Greedy
Bandit,2.9826412264784707,Epsilon Greedy
Bandit,3.754835955759311,Epsilon Greedy
Bandit,3.303422064728715,Epsilon Greedy
